title,artist,difficulty,youtube_url,workshop_url,download_url,tile_count,creator,tags
KillerBeast,かめりあ(Camellia),20.2,https://youtu.be/psT4EgaOgjw, ,https://cdn.discordapp.com/attachments/890331794283581470/919205474631577631/Killerbeast_f.zip,2167,Synow,"PSEUDO_P2, GALLOP, POLYRHYTHM, SPEED_CHANGES, LONG"
CRAZE THE RAVE!!!,Hexacube,20.2,https://www.youtube.com/watch?v=5wrwpkiJ5tE,,,1808,여쭌이야,EPILEPSY_WARNING
 SUP3RNOVA,MetaHumanBoi vs Nstryder,20.2,https://youtu.be/WaQS2yTj8rk?si=vyT3XnP7XiMU8oaS,https://steamcommunity.com/sharedfiles/filedetails/?id=3537397529,,2812,FluffyYoshi,EPILEPSY_WARNING
サヨナラ モノクローム,hugepulse,20.2,https://youtu.be/l-aKj_XtDCs,https://steamcommunity.com/sharedfiles/filedetails/?id=2787759467,https://drive.google.com/file/d/1AH0aiRIyW6ZqmMbeyLZ5NoCxgCxuh-lb/view,1445,Ryuha,"PSEUDO, TRIPLET, POLYRHYTHM"
Doppelganger [Extreme],LeaF,20.2,https://youtu.be/VqHC9nHYTgk,https://steamcommunity.com/sharedfiles/filedetails/?id=2307197042,https://drive.google.com/file/d/1rxwKzC4bpWkhyzqWigJrzL5r3y1hCl-B/view?usp=sharing,1303,Ma6icCu8e,"PSEUDO, GALLOP, EPILEPSY_WARNING, TRIPLET, BEAT_P64"
Antipode,satie,20.2,https://youtu.be/6Hmtz7ISZrc,,,1496,叁月mA7cH_,EPILEPSY_WARNING
Tracing Structures,Terminal 11,20.2,https://www.youtube.com/watch?v=vt0hDyd7cQM,,,1973,Ceria,
Body F10ating in the Zero Gravity Space,かめりあ(Camellia),20.3,https://youtu.be/XH-CFa111OU, ,https://cdn.discordapp.com/attachments/965621859729154058/965621920915681280/Camellia_-_Body_F10ating_in_the_Zero_Gravity_Space.zip,3026,쇼핑잉,
Another,Cinamoro,20.3,https://www.youtube.com/watch?v=LKH0f6_xMS0, ,https://drive.google.com/file/d/1Qfek12AyCulS3sPkZDB5_7RspjNcGgbw/view,2480,AeiL,"PSEUDO, GALLOP, GIMMICK, EPILEPSY_WARNING, TRIPLET, BEAT_P64"
Divi/ders,Ezame,20.3,https://youtu.be/nrIM5ddQFEA,https://steamcommunity.com/sharedfiles/filedetails/?id=2847814962,https://drive.google.com/drive/folders/1Wqz349VD6wERfn-TnvqL5pKhbt0Y1uMb?usp=sharing,2629,YaddyHyrule,"PSEUDO, GALLOP, MAGIC_SHAPE, TRIPLET"
Mystery Circles Ultra,かめりあ(Camellia),20.3,https://youtu.be/CPXxs-6KFeU, ,https://cdn.discordapp.com/attachments/756124615104921752/898802978268532786/Mystery_Circles_Ultra.zip,2855,바퀴,"PSEUDO_P2, GALLOP, TRIPLET, FUNKY_BEAT, BEAT_P64"
Extra Credit on the Chromosome Test! VICTORY ROYALE​!​!​!,Schwank,20.3,https://youtu.be/vxiB6JDzCp8,https://steamcommunity.com/sharedfiles/filedetails/?id=2821375825,https://cdn.discordapp.com/attachments/943506302951391274/986642587484061817/Schwank_-_Extra_Credit_on_the_Chromosome_Test_VICTORY_ROYALEft._Lil_Triangle.zip,2051,"sansw, 새제비","PSEUDO, TRIPLET"
skrik (Remake),Chicala Lpis,20.3,https://youtu.be/dZqW90hHKc8, ,https://cdn.discordapp.com/attachments/879715205175726120/973190640336777216/Chicala_Lpis_-_skrik_fix.zip,1559,pinball,"PSEUDO_P2, GALLOP, TRIPLET, POLYRHYTHM, BEAT_P64"
Grimoire (Short),Gardens,20.3,https://youtu.be/BG4NXX_UXpU,https://steamcommunity.com/sharedfiles/filedetails/?id=2597053680,https://cdn.discordapp.com/attachments/674252951124181012/885353573951627264/Grimoire_short.zip,1245,heezy,"PSEUDO_P2, GALLOP, FUNKY_BEAT, BEAT_P64"
LINK[INIT],BilliumMoto,20.3,https://youtu.be/QTw1b69isjg, ,https://cdn.discordapp.com/attachments/760276593947705377/855675222367010827/BilliumMoto_-_Link.zip,1285,"pinball, 야채, D2T","PSEUDO, GALLOP, TRIPLET, FUNKY_BEAT"
Speedcore Sonata,Fvrwvrd,20.3,https://youtu.be/lPqhGwYJ1vA,https://steamcommunity.com/sharedfiles/filedetails/?id=2769268413,https://cdn.discordapp.com/attachments/798722870318465097/947765500203651092/Speedcore_Sonata.zip,3383,REGEN,"PSEUDO_P2, GALLOP, FUNKY_BEAT, BEAT_P64, SUDDEN_ACCELERATION"
∀,ああああ,20.3,https://www.youtube.com/watch?v=a3aGoWftSfs,,,1499,PELEX,
銀河のパレード,ああああ,20.3,https://www.youtube.com/watch?v=RXfhyHzweH0, ,https://drive.google.com/file/d/1uBHAq-NS_yoJOIVFsy8_BZqaY3c-f9ru/view,2672,밍띙똥,"PSEUDO_P2, GALLOP, MAGIC_SHAPE, TRIPLET"
DUALITY,"Rukadesu, 5KiLOBYTE",20.3,https://www.youtube.com/watch?v=DAbdoLuK740,https://steamcommunity.com/sharedfiles/filedetails/?id=2913657185,,2190,"yldo, FluffyYoshi",
Primitive Pump (ex),かめりあ(Camellia),20.3,"https://youtu.be/txsZTES4ezI
", ,https://cdn.discordapp.com/attachments/760276593947705377/830979585927413760/Camellia_Primitive_Pump_ex.zip,2795,pinball,PSEUDO_P2
Beyond the Geostationary Orbit Level,かめりあ(Camellia),20.3,https://youtu.be/cIEel0NehgI, ,https://cdn.discordapp.com/attachments/891965612522352672/916938513415569458/Beyond_the_Geostationary_Orbit_Level.zip,3093,Uzin,"PSEUDO, FUNKY_BEAT, BEAT_P64, LONG"
beepbit ⁂ futures,ああああ vs Frums,20.3,https://youtu.be/SZOXXW8xqoU, ,https://cdn.discordapp.com/attachments/675256851121831937/744897607997849650/beepbit_futures.zip,1983,겨자,"GALLOP, TRIPLET, TRESILLO"
Avantgarde,Raimukun,20.3,https://youtu.be/NVPmVgXd1mk,,,2163,Kyta,
